Nederlands;Deutsch;Englisch;Type;Comment
ernaar;dahin;;B;
erachter;dahinter;;B;Hij rijd erachter
ermee;damit;;B;Ze gaat er goed mee om.
ernaast;Daneben;;B;De kamer is ernaast
erin;Darin;;B;Hij ligt erin.
Ingang, de;Der Eingang;;N;
Wat is er aan de hand?;Was ist los?;;R;
Er is niets ernstigs, hoor.;Es ist nichts Ernstes;;R;
Beterschap gewenst!;Gute Besserung!;;R;
Naald, de;Die Nadel;;N;
Hekel hebben;Nicht ausstehen;;R;Ik heb hekel voor naalden
Ik verheug me erop;Ich freue mich darauf;;R;
